date,positive,hospitalized
2020-12-06,14534035,585676.0
2020-12-05,14357264,583420.0
2020-12-04,14146191,580104.0
2020-12-03,13921360,575452.0
2020-12-02,13711156,570121.0
2020-12-01,13515360,565093.0
2020-11-30,13338607,559871.0
2020-11-29,13191020,556477.0
2020-11-28,13055778,554048.0
2020-11-27,12901256,550644.0
2020-11-26,12707531,547145.0
2020-11-25,12581196,544898.0
2020-11-24,12397567,540330.0
2020-11-23,12230553,535739.0
2020-11-22,12079595,532754.0
2020-11-21,11928754,530463.0
2020-11-20,11749039,527123.0
2020-11-19,11556239,523232.0
2020-11-18,11373404,518812.0
2020-11-17,11209432,514428.0
2020-11-16,11052700,510616.0
2020-11-15,10903827,507583.0
2020-11-14,10759395,505715.0
2020-11-13,10595857,502291.0
2020-11-12,10423741,498605.0
2020-11-11,10271729,495054.0
2020-11-10,10126912,491779.0
2020-11-09,9995725,487746.0
2020-11-08,9876291,485485.0
2020-11-07,9766001,484018.0
2020-11-06,9636779,481721.0
2020-11-05,9511021,478578.0
2020-11-04,9394578,476037.0
2020-11-03,9291273,472923.0
2020-11-02,9204607,469808.0
2020-11-01,9122560,468362.0
2020-10-31,9048711,467196.0
2020-10-30,8958126,465114.0
2020-10-29,8860888,462713.0
2020-10-28,8772165,460379.0
2020-10-27,8693413,457915.0
2020-10-26,8621330,455662.0
2020-10-25,8558805,453908.0
2020-10-24,8493912,452832.0
2020-10-23,8410625,451039.0
2020-10-22,8328292,435968.0
2020-10-21,8255450,433472.0
2020-10-20,8194492,431341.0
2020-10-19,8133943,429076.0
2020-10-18,8076834,427410.0
2020-10-17,8028550,426597.0
2020-10-16,7971222,425069.0
2020-10-15,7902973,423205.0
2020-10-14,7839579,421206.0
2020-10-13,7783462,418751.0
2020-10-12,7734868,416743.0
2020-10-11,7692224,415574.0
2020-10-10,7645956,414593.0
2020-10-09,7588542,413121.0
2020-10-08,7531740,411394.0
2020-10-07,7476532,409263.0
2020-10-06,7425941,407123.0
2020-10-05,7387024,407891.0
2020-10-04,7349267,406405.0
2020-10-03,7311280,405742.0
2020-10-02,7260346,404659.0
2020-10-01,7211088,403226.0
2020-09-30,7165483,401494.0
2020-09-29,7121136,399856.0
2020-09-28,7084695,398205.0
2020-09-27,7048812,396982.0
2020-09-26,7013826,396369.0
2020-09-25,6966421,395172.0
2020-09-24,6911232,393852.0
2020-09-23,6867886,392357.0
2020-09-22,6829266,390908.0
2020-09-21,6779791,389389.0
2020-09-20,6740652,388286.0
2020-09-19,6705149,387761.0
2020-09-18,6660244,386725.0
2020-09-17,6612992,385309.0
2020-09-16,6569703,383765.0
2020-09-15,6529591,382290.0
2020-09-14,6494686,380837.0
2020-09-13,6461066,379881.0
2020-09-12,6426755,379336.0
2020-09-11,6384889,378204.0
2020-09-10,6340205,376688.0
2020-09-09,6302903,375192.0
2020-09-08,6271730,373258.0
2020-09-07,6249594,372279.0
2020-09-06,6221450,371805.0
2020-09-05,6188529,371306.0
2020-09-04,6143785,370119.0
2020-09-03,6092272,368892.0
2020-09-02,6047651,367401.0
2020-09-01,6017434,365888.0
2020-08-31,5975013,364049.0
2020-08-30,5943743,363298.0
2020-08-29,5904458,362636.0
2020-08-28,5860495,361352.0
2020-08-27,5814369,359725.0
2020-08-26,5770453,358066.0
2020-08-25,5726826,356247.0
2020-08-24,5690238,354293.0
2020-08-23,5655989,353218.0
2020-08-22,5618664,352520.0
2020-08-21,5572942,350922.0
2020-08-20,5526747,349155.0
2020-08-19,5483024,347180.0
2020-08-18,5438142,345184.0
2020-08-17,5397650,342957.0
2020-08-16,5360239,341683.0
2020-08-15,5317917,340998.0
2020-08-14,5262107,339117.0
2020-08-13,5205014,336974.0
2020-08-12,5153393,334323.0
2020-08-11,5097499,331335.0
2020-08-10,5042069,328736.0
2020-08-09,5000326,327142.0
2020-08-08,4950173,326280.0
2020-08-07,4897089,324801.0
2020-08-06,4836253,316809.0
2020-08-05,4782450,314215.0
2020-08-04,4729986,312092.0
2020-08-03,4678171,307684.0
2020-08-02,4628823,306078.0
2020-08-01,4582313,305247.0
2020-07-31,4522068,302881.0
2020-07-30,4454538,300348.0
2020-07-29,4385732,297069.0
2020-07-28,4321791,294201.0
2020-07-27,4262807,290150.0
2020-07-26,4207793,288479.0
2020-07-25,4147670,287099.0
2020-07-24,4083294,285288.0
2020-07-23,4008440,282248.0
2020-07-22,3937215,279870.0
2020-07-21,3867869,277624.0
2020-07-20,3804244,275114.0
2020-07-19,3747308,273491.0
2020-07-18,3683593,272603.0
2020-07-17,3619170,270627.0
2020-07-16,3542952,268147.0
2020-07-15,3472503,265952.0
2020-07-14,3406885,263548.0
2020-07-13,3344151,261336.0
2020-07-12,3286548,260162.0
2020-07-11,3225576,259268.0
2020-07-10,3163252,254198.0
2020-07-09,3096428,251991.0
2020-07-08,3037469,250337.0
2020-07-07,2974733,248449.0
2020-07-06,2922991,246513.0
2020-07-05,2881497,245695.0
2020-07-04,2836330,245113.0
2020-07-03,2782186,244241.0
2020-07-02,2728498,242897.0
2020-07-01,2674990,241203.0
2020-06-30,2623989,239770.0
2020-06-29,2576359,238287.0
2020-06-28,2536594,237553.0
2020-06-27,2495262,237006.0
2020-06-26,2452369,235958.0
2020-06-25,2407990,234412.0
2020-06-24,2368309,233133.0
2020-06-23,2329300,231878.0
2020-06-22,2295415,230616.0
2020-06-21,2268236,229769.0
2020-06-20,2239388,229250.0
2020-06-19,2207437,228564.0
2020-06-18,2176478,226977.0
2020-06-17,2149389,225882.0
2020-06-16,2125483,224801.0
2020-06-15,2102215,223628.0
2020-06-14,2083561,222940.0
2020-06-13,2062228,222330.0
2020-06-12,2036983,221387.0
2020-06-11,2013887,220007.0
2020-06-10,1991816,218480.0
2020-06-09,1971089,217243.0
2020-06-08,1953938,215980.0
2020-06-07,1936708,214885.0
2020-06-06,1917890,214230.0
2020-06-05,1895332,213248.0
2020-06-04,1872266,211735.0
2020-06-03,1851883,214584.0
2020-06-02,1831728,212439.0
2020-06-01,1811573,210703.0
2020-05-31,1791211,207845.0
2020-05-30,1769819,206949.0
2020-05-29,1746382,205524.0
2020-05-28,1722794,203959.0
2020-05-27,1700135,202363.0
2020-05-26,1680724,200800.0
2020-05-25,1663746,183513.0
2020-05-24,1645215,182612.0
2020-05-23,1626355,181585.0
2020-05-22,1603990,180202.0
2020-05-21,1579817,176257.0
2020-05-20,1553075,171710.0
2020-05-19,1531816,169951.0
2020-05-18,1510934,168402.0
2020-05-17,1490090,167269.0
2020-05-16,1469938,166139.0
2020-05-15,1446352,164341.0
2020-05-14,1420930,163028.0
2020-05-13,1394217,159866.0
2020-05-12,1372589,158075.0
2020-05-11,1350031,156592.0
2020-05-10,1331733,155223.0
2020-05-09,1310843,154175.0
2020-05-08,1285663,152506.0
2020-05-07,1258504,146266.0
2020-05-06,1231277,142090.0
2020-05-05,1206134,139931.0
2020-05-04,1183622,137995.0
2020-05-03,1161121,136223.0
2020-05-02,1135581,134369.0
2020-05-01,1106547,132383.0
2020-04-30,1073745,122505.0
2020-04-29,1043774,120129.0
2020-04-28,1017548,117168.0
2020-04-27,992176,115162.0
2020-04-26,969581,112919.0
2020-04-25,942523,110710.0
2020-04-24,906872,108405.0
2020-04-23,872598,106033.0
2020-04-22,840628,103206.0
2020-04-21,811492,100109.0
2020-04-20,785279,97376.0
2020-04-19,759174,95065.0
2020-04-18,731895,92903.0
2020-04-17,704069,89454.0
2020-04-16,672087,86088.0
2020-04-15,640510,82923.0
2020-04-14,610651,79413.0
2020-04-13,584573,76239.0
2020-04-12,560175,71759.0
2020-04-11,532174,68428.0
2020-04-10,501069,64681.0
2020-04-09,467580,59772.0
2020-04-08,432490,55941.0
2020-04-07,401573,51620.0
2020-04-06,370872,48623.0
2020-04-05,342463,45680.0
2020-04-04,316808,41743.0
2020-04-03,283923,36731.0
2020-04-02,252085,32128.0
2020-04-01,224040,27930.0
2020-03-31,197924,23796.0
2020-03-30,172740,19798.0
2020-03-29,151270,17326.0
2020-03-28,131826,14532.0
2020-03-27,112220,12123.0
2020-03-26,92976,9551.0
2020-03-25,75242,7073.0
2020-03-24,62351,5124.0
2020-03-23,51602,3946.0
2020-03-22,40167,3026.0
2020-03-21,31013,2021.0
2020-03-20,24197,172.0
2020-03-19,18085,128.0
2020-03-18,13385,94.0
2020-03-17,10021,76.0
2020-03-16,7772,43.0
2020-03-15,5915,37.0
2020-03-14,4727,27.0
2020-03-13,3745,23.0
2020-03-12,2796,17.0
2020-03-11,2053,12.0
2020-03-10,1551,9.0
2020-03-09,1112,9.0
2020-03-08,827,6.0
2020-03-07,631,6.0
2020-03-06,497,6.0
2020-03-05,367,5.0
2020-03-04,279,4.0
2020-03-03,145,
2020-03-02,94,
2020-03-01,50,
2020-02-29,18,
2020-02-28,0,
2020-02-27,0,
2020-02-26,0,
2020-02-25,0,
2020-02-24,0,
2020-02-23,0,
2020-02-22,0,
2020-02-21,0,
2020-02-20,0,
2020-02-19,0,
2020-02-18,0,
2020-02-17,0,
2020-02-16,0,
2020-02-15,0,
2020-02-14,0,
2020-02-13,0,
2020-02-12,0,
2020-02-11,0,
2020-02-10,0,
2020-02-09,0,
2020-02-08,0,
2020-02-07,0,
2020-02-06,0,
2020-02-05,0,
2020-02-04,0,
2020-02-03,0,
2020-02-02,0,
2020-02-01,0,
2020-01-31,0,
2020-01-30,0,
2020-01-29,0,
2020-01-28,0,
2020-01-27,0,
2020-01-26,0,
2020-01-25,0,
2020-01-24,0,
2020-01-23,0,
2020-01-22,0,
