reason,num
visit to Mulhouse religious gathering,37
contact with patient,22
visit to Egypt,17
visit to Italy,13
Religious Meeting in Mulhouse,10
parishioner,5
unknown,4
visit to Mulhouse,4
visit to Oise,3
contact with person who visited Italy,3
In contact with someone contamitaminated in Oise,2
visit to Milan,2
visit in Lombardy,2
"Visit to Venise, Italy",2
Italian,1
visit to Lombardy,1
contact with patient in Auray,1
visit to Germany,1
visit to Bretagne,1
Visit family in Oise,1
visit to Alsace,1
work in a medical environment ,1
Creil military baseÂ ?,1
Visit in Italy,1
